Kerala Control Room: Emergency water-rescue ongoing in Idukki (Kottagiri sector); 4 boats deployed, bilge pumps requested, 120 civilians reported stranded on mid-slope terraces.
Andhra Pradesh Coast Guard: Storm surge advisory for Nellore; shoreline evacuation of fishers, real-time tide gauges reporting +0.8 m anomaly.
Kerala Coastal Police: Boat capsizing at Kozhikode backwaters; dive teams deployed, 7 persons missing presumed swept into channel, water turbidity hampering search.
Maharashtra NDRF: Flood rescue in Raigad district; inflatable boats in serial rescue, water contaminated—chlorination units requested at shelter points.
West Bengal SDRF: Landslide at Kalimpong near tea estates; slope monitoring sensors show progressive movement, residents in red-zone ordered to immediate evacuation.
Odisha Police: Coastal road collapse near Ganjam due to scouring; traffic closure, emergency geotechnical survey requested, temporary bypass design under consideration.
Karnataka State Control: Cyclone remnants causing flash floods in Mangalore; airport operations suspended, relief distribution points established.
Telangana EMS: Industrial fire at Ranga Reddy chemical warehouse; hazmat team on scene, evacuation radius set to 500 m, atmospheric monitoring for toxic plume.
Gujarat Disaster Cell: Earthquake damage assessment ongoing in Kutch; multiple masonry cracks and partial collapses of old structures, temporary shelters opened, power grid check in progress.
Punjab SDRF: Flooding in Amritsar outskirts; sewer overflow compounding floodwaters, sanitation teams requested to prevent waterborne disease outbreak.
Himachal Ops: Flood inundation along Beas river near Kullu; river gauge reading critical, temporary dyke reinforcement using gabion mattresses initiated.
Assam Health Network: Cholera risk notification for flood-affected Dhubri camps; rehydration corners and antibiotics stockpiles being distributed.
Uttarakhand Control: Uttarkashi flash flood damage at Kedarnath approach; debris flow blocked river channel, controlled breaching plan under review to prevent upstream inundation.
Rajasthan SDRF: Desert storm damage in Jaisalmer outskirts; transportable shelters and water trucks dispatched to nomadic settlements.
Jharkhand State Ops: Coal-pit flood in Dhanbad periphery; pump mobilisation ordered, rescue ladders dispatched, methane levels being monitored.
Tamil Nadu Health & EMS: Mass casualty triage at Chennai relief camp; cold chain for vaccines established, vector control measures initiated due to stagnant water.
Madhya Pradesh Control Room: Dam overflow alert at Bargi reservoir; controlled release schedule communicated to downstream districts, evacuation of floodplain villages initiated.
Bihar Flood Cell: Embankment seepage at Supaul sector; sandbag reinforcement and temporary cutoff wall in progress, hydrograph modelling updated.
Goa SDRF: Cliff collapse at coastal stretch near Anjuna; tourist area evacuated, coastal slope fail indicators show progressive retrogression, warning signage installed.
Andaman & Nicobar Disaster Control: Tsunami hazard advisory cleared but shoreline debris widespread; multipurpose crafts carrying relief kits to impacted islets.
Sikkim SDRF: Rockfall fan inundation in Pelling valley; roads obstructed by boulder field, mechanical excavator requested for clearing to restore ambulance access.
Kerala Health Dept: Waterborne disease surveillance active in Ernakulam camps; potable water tankers and ORS points increased, IEC messaging dispatched.
NDRF HQ: National coordination for multiple state incidents; high-priority asset allocation: 6 USAR teams, 12 boats, 3 choppers, IMT deployed to hotspot clusters.
Central Water Commission Liaison: River network cumulative modelling indicates potential simultaneous flood risk in Ganga and Brahmaputra tribs; inter-state alert advisory circulated.
Navy Western Fleet: Amphibious support on standby for Maharashtra coastal evacuations; LCU prepped for heavy equipment transport to cut off islands.
Railway Ops Control: Track washout impacts on Konkan and North-Eastern corridors; sectional speed restrictions and passenger advisories issued until inspections complete.
